Group,Title,New,Sold,Link
rajcata,Sunviva,,,https://permaseminka.cz/rajcata/104-sunviva.html
rajcata,Divoké - Rote Murmel,,,https://permaseminka.cz/rajcata/103-divoke-rote-murmel.html
salaty,Rolando,,,https://permaseminka.cz/salaty/102-rolando.html
rajcata,Dorada,,,https://permaseminka.cz/rajcata/101-dorada.html
rajcata,Super snow white,,,https://permaseminka.cz/rajcata/100-super-snow-white.html
salaty,Mělnický máj,,,https://permaseminka.cz/salaty/99-melnicky-maj.html
salaty,Stupický kamenáč,,,https://permaseminka.cz/salaty/98-stupicky-kamenac.html
porek,Vytrvalý pórek: Zelenomodrý grex,,,https://permaseminka.cz/porek/97-vytrvaly-porek-modrozeleny-grex.html
jedle-trvalky,Victoria (reveň),,,https://permaseminka.cz/jedle-trvalky/96-victoria.html
rajcata,Divoké klokaní,,,https://permaseminka.cz/rajcata/95-divoke-klokani.html
rajcata,Divoké - Matt's Wild Cherry,,,https://permaseminka.cz/rajcata/94-matt-s-wild-cherry.html
rajcata,Divoké zlaté (Golden Currant),,,https://permaseminka.cz/rajcata/93-divoke-zlate.html
papriky-a-chilli,Pantos,,,https://permaseminka.cz/papriky-a-chilli/92-pantos.html
rajcata,Imun,,,https://permaseminka.cz/rajcata/91-imun.html
rajcata,Dívčí prs,,,https://permaseminka.cz/rajcata/90-divci-prs.html
mangold,Feurio,,Yes,https://permaseminka.cz/mangold/89-feurio.html
rajcata,Bogus Fruchta (balkonové rajče),,,https://permaseminka.cz/rajcata/88-bogus-fruchta.html
darkova-baleni,Rajčatová zahrádka - dárkové balení s příručkou,,Yes,https://permaseminka.cz/darkova-baleni/87-rajcatova-zahradka-darkove-baleni-s-priruckou.html
rajcata,Zuckertraube,,,https://permaseminka.cz/rajcata/86-zuckertraube.html
darkova-baleni,Krabička na dárkové balení s volitelným obsahem,,,https://permaseminka.cz/darkova-baleni/85-krabicka-na-darkove-baleni-s-volitelnym-obsahem.html
rajcata,Bite Size,,,https://permaseminka.cz/rajcata/84-bite-size.html
rajcata,Trixi,,,https://permaseminka.cz/rajcata/83-trixi.html
rajcata,Primabella,,,https://permaseminka.cz/rajcata/82-primabella.html
rajcata,Gardener's Delight,,,https://permaseminka.cz/rajcata/80-gardener-s-delight.html
rajcata,Divoké bílé (White Currant),,,https://permaseminka.cz/rajcata/78-divoke-bile.html
publikace-a-knihy,Tao zeleninové zahrady,,,https://permaseminka.cz/publikace-a-knihy/75-tao-zeleninove-zahrady.html
rajcata,Indigo Apple,,,https://permaseminka.cz/rajcata/74-indigo-apple.html
